Region,Installation,RPUID,Asset_Name,build_dt,FCI,ICI,Visit Date,Net_Profit,Population,Profit_per_pop,ConditionCombo,ICI_Exist,Q-Rating
MCIPAC,MCAS Iwakuni,1276346,COMMUNITY FACILITY-TORII DISTRICT,2016,97,,11-Dec-17,2007959.57,2662,754.3048723,97,N,Q1
MCIPAC,MCAS Iwakuni,1276625,COMMAND ASSEMBLY HALL-TORII DISTRICT,2016,96,,01-Nov-17,6716332.42,2662,2523.039977,96,N,Q1
MCIPAC,MCAS Iwakuni,1276625,COMMAND ASSEMBLY HALL-TORII DISTRICT,2016,96,98,15-May-17,6716332.42,2662,2523.039977,98,Y,Q1
MCIPAC,MCAS Iwakuni,1321849,CHILI'S RESTAURANT-TORII DISTRICT,2017,100,,25-Oct-17,850574.66,2662,319.5246657,100,N,Q1
MCIPAC,MCAS Iwakuni,1322038,PUBLIC WORKS SHOP-TORII DISTRICT,2017,100,,01-Dec-17,-330870.74,2662,-124.2940421,100,N,Q1
MCIPAC,MCAS Iwakuni,1326310,,,,,,567262.2,2662,213.0962434,,N,Q4
MCIPAC,MCAS Iwakuni,1333945,,,,,,5577574.68,2662,2095.257205,,N,Q4
MCIPAC,MCAS Iwakuni,1333947,,,,,,10401330.86,2662,3907.336912,,N,Q4
MCIPAC,MCAS Iwakuni,1337734,,,,,,-206244.3,2662,-77.4771976,,N,Q4
MCIPAC,MCAS Iwakuni,1337750,,,,,,745858.16,2662,280.1871375,,N,Q4
MCIPAC,MCAS Iwakuni,1339895,,,,,,13125803.42,2662,4930.805192,,N,Q4
MCIPAC,MCAS Iwakuni,1342483,MARINE CORPS EXCHANGE-MISUMI DISTRICT,2018,100,,01-Nov-18,129390858.4,2662,48606.63351,100,N,Q1
MCIPAC,MCAS Iwakuni,1344361,SKATE PARK-TORII DISTRICT,2016,100,,01-Jan-19,-2439.04,2662,-0.916243426,100,N,Q1
MCIPAC,MCAS Iwakuni,1373557,,,,,,-10587385.81,2662,-3977.229831,,N,Q4
MCIPAC,MCAS Iwakuni,1389545,YOUTH & SAC (6-18 YRS)-TORII DISTRICT,2019,100,,21-Oct-19,2822802.86,2662,1060.406784,100,N,Q1
MCIPAC,MCAS Iwakuni,1393828,MCX GAS STATION-MISUMI DISTRICT,2017,100,,19-Oct-17,4194257.44,2662,1575.603847,100,N,Q1
MCIPAC,MCB Butler,15322,THE COVE,1966,82,,20-Feb-18,114258.1,13216,8.645437349,82,N,Q1
MCIPAC,MCB Butler,40376,PERSONAL SERVICE CENTER,1999,91,,10-Jan-18,-78163.86,13216,-5.914335654,91,N,Q1
MCIPAC,MCB Butler,40763,GUNNERS FITNESS CENTER,2006,87,,22-Jan-18,3891297.81,13216,294.4383936,87,N,Q1
MCIPAC,MCB Butler,40776,COMMUNITY CENTER,2002,88,,20-Jan-18,1006506.62,13216,76.15818856,88,N,Q1
MCIPAC,MCB Butler,40780,SWIMMING POOL - 50 METER,1957,80,,20-Aug-15,887959.43,13216,67.18821353,80,N,Q2
MCIPAC,MCB Butler,44509,WESTPAC LODGE,2002,91,83,12-May-17,82066487.5,13216,6209.631318,83,Y,Q1
MCIPAC,MCB Butler,44672,BEHAVIORAL HEALTH & FAMILY ADVOCACY,2003,91,,10-Jan-18,-12202.88,13216,-0.923341404,91,N,Q1
MCIPAC,MCB Butler,44717,GYMNASIUM,1994,90,,29-Mar-18,2430140.47,13216,183.8786675,90,N,Q1
MCIPAC,MCB Butler,44759,OUTDOOR SWIMMING POOL (GOJ),2003,97,,20-Aug-15,75610.6,13216,5.721141041,97,N,Q1
MCIPAC,MCB Butler,45249,MCCS BUTLER OFFICERS CLUB (GOJ),1989,75,86,10-May-17,7635954.51,13216,577.7810616,86,Y,Q1
MCIPAC,MCB Butler,45270,EXCHANGE-NFCU-MCCS,1964,84,,08-May-18,811851.63,13216,61.42945142,84,N,Q1
MCIPAC,MCB Butler,45412,YOUTH CENTER (GOJ),1989,90,,25-Apr-18,1470962.72,13216,111.3016586,90,N,Q1
MCIPAC,MCB Butler,45429,CHILD DEVELOPMENT CENTER (GOJ),1996,89,,30-Apr-18,6304587.18,13216,477.0420082,89,N,Q1
MCIPAC,MCB Butler,46113,YOUTH SPORTS,1964,79,,17-Apr-18,438574.98,13216,33.18515285,79,N,Q2
MCIPAC,MCB Butler,46126,MCCS HQ,2005,86,,19-Jan-18,-58438184.92,13216,-4421.775493,86,N,Q1
MCIPAC,MCB Butler,46683,AQUATICS CENTER,1961,80,,14-Jan-18,12126475.1,13216,917.5601619,80,N,Q2
MCIPAC,MCB Butler,47256,KISHABA YOUTH CENTER,2002,86,,12-Jan-18,-388230.86,13216,-29.37582173,86,N,Q1
MCIPAC,MCB Butler,47346,TERRA,2006,91,95,12-May-17,14231951.08,13216,1076.872812,95,Y,Q1
MCIPAC,MCB Butler,48852,MIL REC CENTER (MCCS),1963,81,,22-Mar-18,-218083.54,13216,-16.50147851,81,N,Q1
MCIPAC,MCB Butler,48964,BOWLING CENTER (12 LANES OR LESS),1965,79,,16-Feb-18,3116977.34,13216,235.8487697,79,N,Q2
MCIPAC,MCB Butler,49185,OUTDOOR SWIMMING POOL (GOJ),2001,96,,20-Aug-15,1315791.96,13216,99.56052966,96,N,Q1
MCIPAC,MCB Butler,49192,BOWLING CENTER (12 LANES OR LESS),1966,81,,04-Apr-18,1632611.25,13216,123.5329336,81,N,Q1
MCIPAC,MCB Butler,49195,MCCS BEACHHEAD CONSOLIDATED CLUB (GOJ),2002,90,,09-Apr-18,8498312.52,13216,643.0321217,90,N,Q1
MCIPAC,MCB Butler,49195,MCCS BEACHHEAD CONSOLIDATED CLUB (GOJ),2002,90,87,10-May-17,8498312.52,13216,643.0321217,87,Y,Q1
MCIPAC,MCB Butler,49900,ALL HAND CLUB_MCCS,1961,78,84,11-May-17,3706834.78,13216,280.4808399,84,Y,Q1
MCIPAC,MCB Butler,49959,MWR AUTO SKILLS CENTER (MCCS),1999,89,,25-Apr-18,593990.22,13216,44.94478057,89,N,Q1
MCIPAC,MCB Butler,50028,ALL HANDS CLUB (MCCS),1959,79,91,01-May-17,3503745.3,13216,265.1138998,91,Y,Q1
MCIPAC,MCB Butler,50031,LIBRARY (MCCS),1961,80,,24-Mar-18,-124685.12,13216,-9.43440678,80,N,Q2
MCIPAC,MCB Butler,50070,LIBRARY/EDUCATION CENTER (GOJ),2001,92,,05-Apr-18,-473660.26,13216,-35.83991071,92,N,Q1
MCIPAC,MCB Butler,50083,INDOOR PHYSICAL FIT CTR (MCCS),2007,91,,26-Feb-18,1176557.52,13216,89.02523608,91,N,Q1
MCIPAC,MCB Butler,50256,CHIMUGUKURU CENTER,1989,88,,12-Jan-18,6605683.82,13216,499.8247442,88,N,Q1
MCIPAC,MCB Butler,50654,BOWLING CENTER (13 LANES AND MORE),1990,89,92,08-May-17,14085552.68,13216,1065.795451,92,Y,Q1
MCIPAC,MCB Butler,50744,ALL HANDS CLUB TENGAN CASTLE (MCCS),1964,85,,19-Jun-18,1242373.53,13216,94.00526105,85,N,Q1
MCIPAC,MCB Butler,50886,COURTNEY BOWLING ALLEY (12 LANES),1988,87,,08-May-18,4776436.01,13216,361.4131363,87,N,Q1
MCIPAC,MCB Butler,50942,SCUBA LOCKER /MCCS,1961,74,,22-Feb-18,2589118.87,13216,195.9079048,74,N,Q2
MCIPAC,MCB Butler,51159,MCCS TRI-MODULAR CLUB (GOJ),1994,90,86,09-May-17,10942740.47,13216,827.9918637,86,Y,Q1
MCIPAC,MCB Butler,51233,EAGLES NEST,1969,74,,01-May-18,126026.36,13216,9.535892857,74,N,Q2
MCIPAC,MCB Butler,51233,EAGLES NEST,1969,74,83,01-May-17,126026.36,13216,9.535892857,83,Y,Q1
MCIPAC,MCB Butler,51339,MWR AUTO SKILLS CENTER,1997,91,,22-Feb-18,2426984.54,13216,183.6398714,91,N,Q1
MCIPAC,MCB Butler,51351,IRONWORKS FITNESS CENTER,1988,90,,07-May-18,1450358.74,13216,109.7426407,90,N,Q1
MCIPAC,MCB Butler,51357,LIBRARY,1990,87,,08-May-18,-660781.35,13216,-49.99858883,87,N,Q1
MCIPAC,MCB Butler,51452,BOWLING CENTER (12 LANES OR LESS),1988,90,,23-Mar-18,1029382,13216,77.88907385,90,N,Q1
MCIPAC,MCB Butler,51455,INDOOR PHYSICAL FIT CTR (MCCS),1995,82,,19-Mar-18,365369.24,13216,27.6459776,82,N,Q1
MCIPAC,MCB Butler,51497,INDOOR PHYS FITNESS CENTER (MCCUTCHEON),1961,75,,04-May-18,523135.89,13216,39.58352679,75,N,Q2
